origin,destination,type,price,duration
Delhi,Mumbai,flight,5000,140
Delhi,Bangalore,train,900,900
Delhi,Chennai,flight,5500,150
Delhi,Hyderabad,flight,5800,180
Delhi,Pune,train,1300,840
Delhi,Jaipur,bus,1500,1200
Delhi,Lucknow,flight,4500,120
Delhi,Kolkata,flight,5500,150
Delhi,Indore,train,1600,960
Delhi,Nagpur,flight,5200,150
Mumbai,Bangalore,bus,1200,900
Mumbai,Chennai,flight,3500,150
Mumbai,Hyderabad,bus,1000,800
Mumbai,Pune,train,300,180
Mumbai,Jaipur,flight,4000,150
Mumbai,Lucknow,flight,5000,120
Mumbai,Kolkata,flight,5500,180
Mumbai,Indore,train,800,450
Mumbai,Nagpur,flight,4000,120
Mumbai,Bhopal,train,1000,480
Bangalore,Chennai,train,750,360
Bangalore,Hyderabad,bus,700,400
Bangalore,Pune,flight,4000,100
Bangalore,Ahmedabad,flight,5500,180
Bangalore,Jaipur,train,2500,1200
Bangalore,Lucknow,flight,5000,150
Bangalore,Kolkata,flight,6000,180
Bangalore,Indore,bus,1800,960
Chennai,Hyderabad,bus,800,480
Chennai,Pune,train,1500,720
Chennai,Ahmedabad,flight,4500,90
Chennai,Jaipur,bus,3000,1200
Chennai,Lucknow,flight,6000,150
Chennai,Kolkata,train,2000,960
Chennai,Indore,flight,5000,150
Chennai,Nagpur,bus,1800,600
Hyderabad,Pune,flight,3500,90
Hyderabad,Ahmedabad,train,1100,480
Hyderabad,Jaipur,bus,3000,1200
Hyderabad,Lucknow,flight,5000,150
Hyderabad,Kolkata,flight,5500,180
Hyderabad,Indore,train,1800,720
Hyderabad,Nagpur,bus,1600,600
Hyderabad,Bhopal,flight,4500,120
Pune,Ahmedabad,train,1000,480
Pune,Jaipur,flight,5000,150
Pune,Nagpur,bus,900,480
Ahmedabad,Jaipur,bus,600,420
Ahmedabad,Nagpur,flight,4000,150
Ahmedabad,Lucknow,train,1800,960
Jaipur,Lucknow,flight,5500,150
Jaipur,Nagpur,bus,1700,600
Lucknow,Indore,train,1200,900
Lucknow,Bhopal,flight,3000,120
Kolkata,Bhopal,flight,4000,150
Kolkata,Indore,bus,1800,960
Kolkata,Nagpur,train,2400,960
Indore,Bhopal,train,800,180
Indore,Nagpur,bus,1800,600
Bhopal,Nagpur,train,1500,450
