origin,destination,type,price,duration,main_attraction
Mumbai,Delhi,flight,5931,146,Red Fort,Qutub Minar
Jaipur,Chennai,flight,4483,156,Marina Beach,Kapaleeshwarar Temple
Chennai,Jaipur,flight,9535,191,Amber Fort,City Palace
Hyderabad,Mumbai,flight,5333,112,Gateway of India,Marine Drive
Hyderabad,Lucknow,bus,1878,580,Bara Imambara,Chota Imambara
Kolkata,Dehradun,train,1356,538,Robber's Cave,Forest Research Institute
Kolkata,Chennai,bus,554,364,Marina Beach,Kapaleeshwarar Temple
Delhi,Hyderabad,bus,944,833,Charminar,Golkonda Fort
Mumbai,Pune,flight,9507,232,Shaniwar Wada,Aga Khan Palace
Bangalore,Jaipur,bus,1223,690,Amber Fort,City Palace
Hyderabad,Bangalore,flight,6782,94,Bangalore Palace,Lalbagh Botanical Garden
Kolkata,Delhi,flight,9469,237,Red Fort,Qutub Minar
Pune,Jaipur,train,2724,708,Amber Fort,City Palace
Kolkata,Jaipur,car,4275,292,Amber Fort,City Palace
Lucknow,Pune,train,3210,507,Shaniwar Wada,Aga Khan Palace
Pune,Chennai,flight,7535,176,Marina Beach,Kapaleeshwarar Temple
Bangalore,Delhi,flight,8568,111,Red Fort,Qutub Minar
Dehradun,Chennai,bus,1084,553,Marina Beach,Kapaleeshwarar Temple
Hyderabad,Chennai,bus,1970,711,Marina Beach,Kapaleeshwarar Temple
Pune,Lucknow,car,2474,365,Bara Imambara,Chota Imambara
Mumbai,Pune,bus,995,893,Shaniwar Wada,Aga Khan Palace
Hyderabad,Jaipur,flight,5154,112,Amber Fort,City Palace
Pune,Chennai,flight,3035,129,Marina Beach,Kapaleeshwarar Temple
Kolkata,Delhi,flight,8155,92,Red Fort,Qutub Minar
Mumbai,Bangalore,flight,4923,213,Bangalore Palace,Lalbagh Botanical Garden
Bangalore,Mumbai,bus,797,669,Gateway of India,Marine Drive
Hyderabad,Mumbai,flight,5461,76,Gateway of India,Marine Drive
Delhi,Mumbai,flight,4720,76,Gateway of India,Marine Drive
Jaipur,Lucknow,car,1487,245,Bara Imambara,Chota Imambara
Mumbai,Chennai,flight,6979,194,Marina Beach,Kapaleeshwarar Temple
Mumbai,Pune,bus,693,846,Shaniwar Wada,Aga Khan Palace
Jaipur,Hyderabad,flight,7724,121,Charminar,Golkonda Fort
Kolkata,Jaipur,car,5092,259,Amber Fort,City Palace
Hyderabad,Mumbai,flight,3883,133,Gateway of India,Marine Drive
Hyderabad,Bangalore,flight,8369,78,Bangalore Palace,Lalbagh Botanical Garden
Bangalore,Jaipur,flight,3373,63,Amber Fort,City Palace
Pune,Lucknow,car,2307,348,Bara Imambara,Chota Imambara
Bangalore,Delhi,flight,6019,188,Red Fort,Qutub Minar
Chennai,Lucknow,bus,1365,345,Bara Imambara,Chota Imambara
Mumbai,Jaipur,flight,6436,155,Amber Fort,City Palace
Kolkata,Lucknow,car,2474,392,Bara Imambara,Chota Imambara
Hyderabad,Bangalore,flight,6839,239,Bangalore Palace,Lalbagh Botanical Garden
Delhi,Mumbai,flight,5329,126,Gateway of India,Marine Drive
Dehradun,Mumbai,flight,6257,166,Gateway of India,Marine Drive
Bangalore,Hyderabad,flight,4982,158,Charminar,Golkonda Fort
Lucknow,Chennai,bus,843,833,Marina Beach,Kapaleeshwarar Temple
Bangalore,Lucknow,flight,7812,74,Bara Imambara,Chota Imambara
Jaipur,Kolkata,train,1754,738,Victoria Memorial,Howrah Bridge
Mumbai,Pune,flight,4255,97,Shaniwar Wada,Aga Khan Palace
Kolkata,Dehradun,car,2243,278,Robber's Cave,Forest Research Institute
Bangalore,Dehradun,flight,7617,97,Robber's Cave,Forest Research Institute
Lucknow,Kolkata,car,5745,218,Victoria Memorial,Howrah Bridge
Dehradun,Mumbai,bus,1732,627,Gateway of India,Marine Drive
Hyderabad,Mumbai,flight,5522,193,Gateway of India,Marine Drive
Dehradun,Chennai,flight,8208,71,Marina Beach,Kapaleeshwarar Temple
Bangalore,Chennai,bus,1253,738,Marina Beach,Kapaleeshwarar Temple
Kolkata,Jaipur,car,3230,369,Amber Fort,City Palace
Lucknow,Chennai,bus,827,760,Marina Beach,Kapaleeshwarar Temple
Dehradun,Delhi,bus,1188,683,Red Fort,Qutub Minar
Jaipur,Chennai,flight,8840,177,Marina Beach,Kapaleeshwarar Temple
Lucknow,Mumbai,bus,1477,333,Gateway of India,Marine Drive
Dehradun,Mumbai,flight,8068,116,Gateway of India,Marine Drive
Bangalore,Kolkata,bus,702,639,Victoria Memorial,Howrah Bridge
Dehradun,Delhi,bus,617,880,Red Fort,Qutub Minar
Chennai,Kolkata,flight,7936,127,Victoria Memorial,Howrah Bridge
Delhi,Hyderabad,flight,4556,217,Charminar,Golkonda Fort
Dehradun,Hyderabad,bus,1223,705,Charminar,Golkonda Fort
Mumbai,Chennai,flight,6482,225,Marina Beach,Kapaleeshwarar Temple
Mumbai,Hyderabad,flight,6030,168,Charminar,Golkonda Fort
Bangalore,Hyderabad,bus,1450,781,Charminar,Golkonda Fort
Mumbai,Pune,bus,609,652,Shaniwar Wada,Aga Khan Palace
Hyderabad,Kolkata,bus,701,523,Victoria Memorial,Howrah Bridge
Dehradun,Bangalore,flight,6086,200,Bangalore Palace,Lalbagh Botanical Garden
Pune,Mumbai,flight,8524,75,Gateway of India,Marine Drive
Bangalore,Pune,flight,7370,63,Shaniwar Wada,Aga Khan Palace
Mumbai,Kolkata,flight,9902,105,Victoria Memorial,Howrah Bridge
Chennai,Delhi,flight,5202,115,Red Fort,Qutub Minar
Dehradun,Bangalore,flight,4163,128,Bangalore Palace,Lalbagh Botanical Garden
Dehradun,Pune,train,3228,850,Shaniwar Wada,Aga Khan Palace
Delhi,Kolkata,flight,6555,120,Victoria Memorial,Howrah Bridge
Jaipur,Delhi,flight,9524,166,Red Fort,Qutub Minar
Dehradun,Jaipur,train,3001,336,Amber Fort,City Palace
Dehradun,Pune,car,4299,368,Shaniwar Wada,Aga Khan Palace
Dehradun,Pune,train,2923,428,Shaniwar Wada,Aga Khan Palace
Chennai,Dehradun,flight,5588,136,Robber's Cave,Forest Research Institute
Bangalore,Kolkata,flight,3535,119,Victoria Memorial,Howrah Bridge
Delhi,Hyderabad,flight,4578,231,Charminar,Golkonda Fort
Bangalore,Dehradun,bus,1518,614,Robber's Cave,Forest Research Institute
Jaipur,Bangalore,flight,6145,227,Bangalore Palace,Lalbagh Botanical Garden
Pune,Lucknow,train,3027,412,Bara Imambara,Chota Imambara
Lucknow,Chennai,flight,8258,160,Marina Beach,Kapaleeshwarar Temple
Delhi,Kolkata,flight,8776,161,Victoria Memorial,Howrah Bridge
Kolkata,Pune,train,2658,396,Shaniwar Wada,Aga Khan Palace
Pune,Chennai,bus,677,861,Marina Beach,Kapaleeshwarar Temple
Pune,Chennai,flight,4409,83,Marina Beach,Kapaleeshwarar Temple
Kolkata,Jaipur,train,3891,492,Amber Fort,City Palace
Dehradun,Delhi,flight,8828,203,Red Fort,Qutub Minar
Delhi,Chennai,bus,1976,813,Marina Beach,Kapaleeshwarar Temple
Delhi,Chennai,flight,5293,185,Marina Beach,Kapaleeshwarar Temple
Lucknow,Dehradun,car,4444,293,Robber's Cave,Forest Research Institute
